"_DSC0001.JPG - 34853: 37560
"
"_DSC0001.JPG - 296: 2
"
"_DSC0001.JPG - 34665: 352
"
"_DSC0001.JPG - 271: NIKON CORPORATION
"
"_DSC0001.JPG - 272: NIKON D3100
"
"_DSC0001.JPG - 305: Ver.1.00 
"
"_DSC0001.JPG - 274: 1
"
"_DSC0001.JPG - 306: 2021:10:30 12:07:27
"
"_DSC0001.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0001.JPG - 531: 2
"
"_DSC0001.JPG - 282: 300.0
"
"_DSC0001.JPG - 283: 300.0
"
"_DSC0001.JPG - 318: (0.313, 0.329)
"
"_DSC0001.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0002.JPG - 34853: 33652
"
"_DSC0002.JPG - 296: 2
"
"_DSC0002.JPG - 34665: 352
"
"_DSC0002.JPG - 271: NIKON CORPORATION
"
"_DSC0002.JPG - 272: NIKON D3100
"
"_DSC0002.JPG - 305: Ver.1.00 
"
"_DSC0002.JPG - 274: 1
"
"_DSC0002.JPG - 306: 2021:10:30 16:07:27
"
"_DSC0002.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0002.JPG - 531: 2
"
"_DSC0002.JPG - 282: 300.0
"
"_DSC0002.JPG - 283: 300.0
"
"_DSC0002.JPG - 318: (0.313, 0.329)
"
"_DSC0002.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0004.JPG - 34853: 37744
"
"_DSC0004.JPG - 296: 2
"
"_DSC0004.JPG - 34665: 352
"
"_DSC0004.JPG - 271: NIKON CORPORATION
"
"_DSC0004.JPG - 272: NIKON D3100
"
"_DSC0004.JPG - 305: Ver.1.00 
"
"_DSC0004.JPG - 274: 1
"
"_DSC0004.JPG - 306: 2021:10:31 16:07:29
"
"_DSC0004.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0004.JPG - 531: 2
"
"_DSC0004.JPG - 282: 300.0
"
"_DSC0004.JPG - 283: 300.0
"
"_DSC0004.JPG - 318: (0.313, 0.329)
"
"_DSC0004.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0006.JPG - 34853: 37816
"
"_DSC0006.JPG - 296: 2
"
"_DSC0006.JPG - 34665: 352
"
"_DSC0006.JPG - 271: NIKON CORPORATION
"
"_DSC0006.JPG - 272: NIKON D3100
"
"_DSC0006.JPG - 305: Ver.1.00 
"
"_DSC0006.JPG - 274: 1
"
"_DSC0006.JPG - 306: 2021:11:01 12:07:29
"
"_DSC0006.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0006.JPG - 531: 2
"
"_DSC0006.JPG - 282: 300.0
"
"_DSC0006.JPG - 283: 300.0
"
"_DSC0006.JPG - 318: (0.313, 0.329)
"
"_DSC0006.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0007.JPG - 34853: 37968
"
"_DSC0007.JPG - 296: 2
"
"_DSC0007.JPG - 34665: 352
"
"_DSC0007.JPG - 271: NIKON CORPORATION
"
"_DSC0007.JPG - 272: NIKON D3100
"
"_DSC0007.JPG - 305: Ver.1.00 
"
"_DSC0007.JPG - 274: 1
"
"_DSC0007.JPG - 306: 2021:11:01 16:07:30
"
"_DSC0007.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0007.JPG - 531: 2
"
"_DSC0007.JPG - 282: 300.0
"
"_DSC0007.JPG - 283: 300.0
"
"_DSC0007.JPG - 318: (0.313, 0.329)
"
